,full_name,position,status,player_id,adp_ppr
,Charles Leno,T,Active,2112,999
,Pat O'Donnell,P,Active,2113,999
,T.J. Jones,WR,Active,2121,999
,Nevin Lawson,CB,Active,2122,999
,Cornelius Lucas,T,Active,2123,999
,Caraun Reid,DT,Active,2126,999
,Kyle Van Noy,LB,Active,2130,999
,Davante Adams,WR,Active,2133,15.1,291.7
,Ha Ha Clinton-Dix,DB,Active,2135,999
,Corey Linsley,C,Active,2141,999
,Rajion Neal,RB,Active,2142,999
,Mike Pennel,DT,Active,2143,999
,Joe Thomas,LB,Active,2147,999
,Jeremy Vujnovich,G,Active,2149,999
,Anthony Barr,LB,Active,2151,999
,Teddy Bridgewater,QB,Active,2152,999,18.34
,Antone Exum,SS,Active,2156,999
,Isame Faciane,G,Active,2157,999
,Jerick McKinnon,RB,Active,2161,119.9,123.4
,Shamar Stephen,DT,Active,2163,999
,Ricardo Allen,DB,Active,2167,999
,Devonta Freeman,RB,Active,2168,555.4
,Jake Matthews,T,Active,2172,999
,Tre Boston,DB,Active,2184,999
,Adarius Taylor,LB,Active,2190,999
,Marcus Lucas,WR,Active,2191,999
,Andrew Norwell,OL,Active,2192,999
,Brandin Cooks,WR,Active,2197,94.1,183.7
,Cameron Brate,TE,Active,2214,490.5,34.8
,Mike Evans,WR,Active,2216,75.6,218.5
,Kevin Pamphile,G,Active,2220,999
,Maurice Alexander,LB,Active,2224,999
,Aaron Donald,DT,Active,2227,999,11
,Garrett Gilbert,QB,Active,2229,488
,Greg Robinson,T,Active,2234,999
,Ethan Westbrooks,DT,Active,2237,999
,John Brown,WR,Active,2238,468.5
,Kareem Martin,LB,Active,2244,999
,Logan Thomas,TE,Active,2251,999,65.6
,Carlos Hyde,RB,Active,2257,691.7
,Marcus Martin,C,Active,2260,999
,Trey Millard,RB,Active,2262,495.8
,Brandon Thomas,G,Active,2266,999
,Jimmie Ward,DB,Active,2267,999,6
,Justin Britt,OL,Active,2270,999
,Cassius Marsh,LB,Active,2275,999
,Paul Richardson,WR,Active,2279,999
,Adrian Phillips,DB,Active,2287,999,2
,Dontrelle Inman,WR,Active,2291,999
,Jerome Cunningham,TE,Active,2304,999
,Charley Hughlett,LS,Active,2305,999
,Jameis Winston,QB,Active,2306,999,35.86
,Marcus Mariota,QB,Active,2307,999,33.74
,Dante Fowler,LB,Active,2308,999
,Amari Cooper,WR,Active,2309,44.6,219.7
,Brandon Scherff,G,Active,2310,999
,Leonard Williams,DE,Active,2311,999,9
,Kevin White,WR,Active,2312,676.6
,Ereck Flowers,T,Active,2314,999
,Todd Gurley,RB,Active,2315,999
,Trae Waynes,CB,Active,2316,999
,Danny Shelton,DT,Active,2317,999
,Andrus Peat,OL,Active,2318,999
,DeVante Parker,WR,Active,2319,245.7,112.4
,Melvin Gordon,RB,Active,2320,999,25.7
,Arik Armstead,DE,Active,2322,999,8.5
,Marcus Peters,CB,Active,2323,999,11
,Cameron Erving,T,Active,2324,999
,Nelson Agholor,WR,Active,2325,999,69.9
,Cedric Ogbuehi,T,Active,2326,999
,Bud Dupree,LB,Active,2327,999,7
,D.J. Humphries,OL,Active,2329,999
,Shaq Thompson,LB,Active,2330,999,2.5
,Breshad Perriman,WR,Active,2331,999,28.4
,Byron Jones,CB,Active,2332,999
,Laken Tomlinson,OL,Active,2333,999
,Phillip Dorsett,WR,Active,2334,999
,Damarious Randall,CB,Active,2335,999
,Stephone Anthony,LB,Active,2336,999
,Malcom Brown,DT,Active,2337,999
,Landon Collins,DB,Active,2338,999
,Donovan Smith,T,Active,2339,999
,Mario Edwards,DE,Active,2340,999
,Devin Smith,WR,Active,2342,999
,Preston Smith,LB,Active,2343,999,10
,Eddie Goldman,DT,Active,2344,999
,Devin Funchess,TE,Active,2346,381
,Benardrick McKinney,LB,Active,2348,999
,Eric Kendricks,LB,Active,2350,999,6
,Jaquiski Tartt,DB,Active,2351,999
,Eric Rowe,DB,Active,2352,999
,Denzel Perryman,LB,Active,2353,999,5.5
,Mitch Morse,C,Active,2354,999
,Ronald Darby,CB,Active,2355,999
,Nate Orchard,DE,Active,2356,999
,Jordan Phillips,DE,Active,2357,999
,Ameer Abdullah,RB,Active,2359,999,42.1
,Maxx Williams,TE,Active,2360,334.3,27.8
,Rob Havenstein,OL,Active,2362,999
,Markus Golden,LB,Active,2363,999
,Randy Gregory,DE,Active,2365,999,7.5
,Ali Marpet,G,Active,2366,999
,Frank Clark,DE,Active,2368,999
,Jordan Richards,DB,Active,2369,999
,Jeremiah Poutasi,OL,Active,2371,999
,A.J. Cann,OL,Active,2372,999
,Clive Walford,TE,Active,2373,999
,Tyler Lockett,WR,Active,2374,70.6,215.2
,Hroniss Grasu,OL,Active,2376,999
,Jamon Brown,G,Active,2377,999
,Tevin Coleman,RB,Active,2378,450.6,6.4
,Chris Conley,WR,Active,2381,999,32.1
,Duke Johnson,RB,Active,2382,403
,P.J. Williams,CB,Active,2383,999
,John Miller,G,Active,2386,999
,Jordan Hicks,LB,Active,2389,999,9
,Tyler Kroft,TE,Active,2390,340,6.2
,David Johnson,RB,Active,2391,999
,Danielle Hunter,DE,Active,2393,999,15
,Sean Mannion,QB,Active,2394,545.8
,Carl Davis,DT,Active,2395,999
,Chaz Green,T,Active,2396,999
,Jeff Heuerman,TE,Active,2397,999
,Henry Anderson,DE,Active,2398,999,1
,Ty Montgomery,RB,Active,2399,999,31.2
,Steven Nelson,CB,Active,2403,999,2
,Angelo Blackson,DE,Active,2405,999
,Trey Flowers,LB,Active,2406,999
,Daryl Williams,OL,Active,2407,999
,Jamison Crowder,WR,Active,2410,999,39
,Justin Hardy,WR,Active,2412,999
,Clayton Geathers,DB,Active,2414,999
,T.J. Clemmings,T,Active,2415,999
,Gabe Wright,DT,Active,2418,999
,Jamil Douglas,OL,Active,2419,999
,Ibraheim Campbell,DB,Active,2420,999
,Blake Bell,TE,Active,2422,999,6.2
,Ramik Wilson,LB,Active,2423,999
,Za'Darius Smith,LB,Active,2427,999,13
,Kwon Alexander,LB,Active,2429,999
,Javorius Allen,RB,Active,2430,999
,Mike Davis,RB,Active,2431,407.6
,Damien Wilson,LB,Active,2432,999
,Jon Feliciano,OG,Active,2433,999
,Jake Ryan,LB,Active,2434,999
,Shaq Mason,OL,Active,2435,999
,Max Garcia,OL,Active,2437,999
,Mark Glowinski,G,Active,2438,999
,Adrian Amos,DB,Active,2445,999,2
,MyCole Pruitt,TE,Active,2446,999
,Bobby McCain,CB,Active,2448,999
,Stefon Diggs,WR,Active,2449,9.8,285.5
,Brett Hundley,QB,Active,2450,556
,Davis Tull,OLB,Active,2451,999
,Cedric Thompson,SS,Active,2453,999
,Tyeler Davison,DT,Active,2457,999
,C.J. Uzomah,TE,Active,2460,999,54.5
,J.J. Nelson,WR,Active,2462,999
,Jesse James,TE,Active,2463,999
,Bradley Pinion,P,Active,2468,999
,Joe Cardona,LS,Active,2469,999
,Michael Burton,FB,Active,2471,999
,David Mayo,LB,Active,2472,999,2
,Tye Smith,CB,Active,2473,999
,Nick Boyle,TE,Active,2474,999
,D.J. Alexander,LB,Active,2475,999
,James O'Shaughnessy,TE,Active,2476,507.1
,Tyrus Thompson,OT,Active,2486,999
,Geremy Davis,WR,Active,2487,663.5
,Darius Philon,DT,Active,2493,999
,Nick O'Leary,TE,Active,2495,999
,Malcolm Johnson,FB,Active,2496,999
,Leterrius Walton,DE,Active,2500,999
,Quandre Diggs,DB,Active,2501,999,6
,Darius Kilgo,DT,Active,2504,999
,Darren Waller,TE,Active,2505,57.7,168
,Christian Ringo,DT,Active,2511,999
,Reshard Cliett,OLB,Active,2512,999
,Christian Covington,DT,Active,2517,999
,Austin Reiter,C,Active,2521,999
,Jake Rodgers,T,Active,2524,999
,Bobby Hart,T,Active,2525,999
,Martin Ifedi,DE,Active,2526,999
,Ben Koyack,TE,Active,2528,999
