,pts_ppr,rank_ppr,pos_rank_ppr,full_name
,0,739,65,Denico Autry
,0,2840,122,Derek Carr
,0,3786,409,T.J. Carrie
,0,1647,105,Justin Ellis
,0,2502,187,Shelby Harris
,0,3266,427,Khalil Mack
,0,1672,300,Seth Roberts
,0,1801,146,Scott Simonson
,0,1621,217,Jeremiah Attaochu
,0,1198,125,Jason Verrett
,0,894,114,Anthony Hitchens
,0,5335,400,DeMarcus Lawrence
,0,310,32,Terrance Mitchell
,0,2163,32,Keith Smith
,0,2321,402,Odell Beckham
,0,1697,132,Xavier Grimble
,0,4877,504,Bennett Jackson
,0,2059,280,Devon Kennard
,0,110,8,Kerry Wynn
,0,5338,553,Bashaud Breeland
,0,1448,257,Ryan Grant
,0,4655,352,Trent Murphy
,0,1924,17,Brandon Dunn
,0,3752,158,David Fales
,0,3212,337,Kyle Fuller
,0,246,29,Christian Jones
,0,4550,393,Senorise Perry
,0,1904,157,Eric Ebron
,0,3096,531,T.J. Jones
,0,2708,278,Nevin Lawson
,0,1837,120,Caraun Reid
,0,1985,275,Kyle Van Noy
,0,4217,741,Davante Adams
,0,4797,496,Ha Ha Clinton-Dix
,0,3842,336,Rajion Neal
,0,3461,265,Mike Pennel
,0,4556,388,Richard Rodgers
,0,1704,228,Joe Thomas
,0,3078,404,Anthony Barr
,0,1969,77,Teddy Bridgewater
,0,2001,29,Antone Exum
,0,3747,328,Jerick McKinnon
,0,2408,177,Shamar Stephen
,0,5073,526,Ricardo Allen
,0,423,36,Devonta Freeman
,0,4632,485,Devonta Glover-Wright
,0,3083,43,Roosevelt Nix
,0,1776,208,Tre Boston
,0,980,127,Adarius Taylor
,0,2931,499,Marcus Lucas
,0,4833,849,Brandin Cooks
,0,5336,401,Kasim Edebali
,0,586,47,Cameron Brate
,0,3800,653,Mike Evans
,0,3657,479,Maurice Alexander
,0,163,15,Aaron Donald
,0,1652,66,Garrett Gilbert
,0,2263,253,Lamarcus Joyner
,0,587,45,Ethan Westbrooks
,0,2845,480,John Brown
,0,1422,186,Deone Bucannon
,0,976,125,Kareem Martin
,0,13,3,Logan Thomas
,0,4624,396,Carlos Hyde
,0,2359,238,Dontae Johnson
,0,2029,277,Aaron Lynch
,0,3623,313,Trey Millard
,0,5130,532,Jimmie Ward
,0,2808,376,Cassius Marsh
,0,4250,566,Kevin Pierre-Louis
,0,2385,412,Paul Richardson
,0,4319,449,Adrian Phillips
,0,3470,590,Dontrelle Inman
,0,5002,427,Jerome Cunningham
,0,2550,106,Jameis Winston
,0,610,21,Marcus Mariota
,0,2318,313,Dante Fowler
,0,3448,585,Amari Cooper
,0,5189,391,Leonard Williams
,0,633,114,Kevin White
,0,4065,316,Vic Beasley
,0,4413,385,Todd Gurley
,0,2728,280,Trae Waynes
,0,2096,148,Danny Shelton
,0,1688,303,DeVante Parker
,0,5275,460,Melvin Gordon
,0,826,87,Kevin Johnson
,0,155,14,Arik Armstead
,0,1414,150,Marcus Peters
,0,183,36,Nelson Agholor
,0,1463,193,Bud Dupree
,0,1812,247,Shane Ray
,0,5289,703,Shaq Thompson
,0,1151,204,Breshad Perriman
,0,1013,109,Byron Jones
,0,79,13,Phillip Dorsett
,0,2552,261,Damarious Randall
,0,323,40,Stephone Anthony
,0,2714,202,Malcom Brown
,0,4131,426,Landon Collins
,0,4480,345,Mario Edwards
,0,964,92,T.J. Yeldon
,0,4036,702,Devin Smith
,0,167,16,Preston Smith
,0,3696,285,Eddie Goldman
,0,4125,344,Devin Funchess
,0,3045,402,Benardrick McKinney
,0,2792,373,Eric Kendricks
,0,2223,250,Jaquiski Tartt
,0,5054,523,Eric Rowe
,0,2797,375,Denzel Perryman
,0,1367,146,Ronald Darby
,0,2665,200,Nate Orchard
,0,3236,242,Jordan Phillips
,0,5147,449,Ameer Abdullah
,0,4062,341,Maxx Williams
,0,3267,428,Markus Golden
,0,5047,381,Randy Gregory
,0,3488,268,Frank Clark
,0,2455,272,Jordan Richards
,0,3523,302,Clive Walford
,0,3030,514,Tyler Lockett
,0,3441,295,Tevin Coleman
,0,1391,245,Chris Conley
,0,2988,255,Duke Johnson
,0,3551,375,P.J. Williams
,0,1756,238,Jordan Hicks
,0,966,69,Tyler Kroft
,0,4808,416,David Johnson
,0,2668,202,Danielle Hunter
,0,2117,85,Sean Mannion
,0,1471,92,Carl Davis
,0,3574,308,Jeff Heuerman
,0,4289,330,Henry Anderson
,0,4292,375,Ty Montgomery
,0,2914,300,Steven Nelson
,0,2981,226,Angelo Blackson
,0,5050,667,Trey Flowers
,0,3642,620,Jamison Crowder
